tag,out_dir,n_runs,n_finite_mse,prop_finite_mse,n_nan_total,n_inf_total,error_types_top,error_msgs_top,sample_x_strings,moved_to
lb0p1_lk0p0,/content/logs/promising/summary_outputs/per_config/lb0p1_lk0p0,200,0,0.0,0,0,{'InvalidIndexError': 200},"{'(0, slice(None, None, None))': 200}","{'[0.2523918512688219, -0.006907854052875564, 0.03351414243517362, 0.07595511147015142]': 1, '[0.2158484748820935, -0.011701486841775358, 0.08009035630550858, 0.03817535510739559]': 1, '[0.2040824243215127, 0.027133363184981905, 0.0, -0.023482869028762694]': 1, '[0.239654257196562, -0.09565865122720622, 0.0, -0.028310757812298484]': 1, '[0.1769145876015391, 0.015717727635447366, 0.0, -0.07081156641701443]': 1, '[0.300838582064338, -0.011283454018643115, 0.004506125764535192, -0.07143379066092269]': 1, '[0.20033700739200117, 0.005551490491176974, 0.0, 0.01858851956703375]': 1, '[0.19752420912232005, -0.01457932648398017, 0.0, 0.09241752787519704]': 1, '[0.2268812823813636, -0.05288018544211135, 0.042256961135298456, -0.06123856384880097]': 1, '[0.23799932336849805, -0.09797814518830511, 0.0, 0.009646680443206325]': 1}",/content/logs/promising/final_not_promising/lb0p1_lk0p0
lb0p01_lk0p0,/content/logs/promising/summary_outputs/per_config/lb0p01_lk0p0,200,0,0.0,0,0,{'InvalidIndexError': 200},"{'(0, slice(None, None, None))': 200}","{'[0.2926432080882002, 0.07808092084202631, 0.0027299229834273314, -0.03786727486755903]': 1, '[0.2505547507652161, -0.033880407481921636, 0.10179907790647016, 0.006630385203887023]': 1, '[0.20929006605265485, 0.00923937629892909, 0.0, -0.04877708327578243]': 1, '[0.2875768390154816, -0.03283935294288612, 0.0, 0.02663625627611446]': 1, '[0.28684135135141015, 0.03595302653893701, 0.05093209982042982, -0.03803613577872289]': 1, '[0.15646561028116812, 0.07507204360345801, 0.0, -0.012738032173002218]': 1, '[0.2939658507107132, 0.02781686147571667, 0.02392410413421938, 0.10805373589480435]': 1, '[0.19538023209925315, 0.04639736740974553, 0.003980371774993226, 0.013233232592912996]': 1, '[0.3039795649388869, 0.02539714882016486, 0.02804451948262065, 0.05342898551524026]': 1, '[0.20930850714111604, -0.04195512236126665, 0.0, -0.09851421081904994]': 1}",/content/logs/promising/final_not_promising/lb0p01_lk0p0
