a,b,m,kappa
0.6069316931243883,-0.06656396774965659,0.3069316937179786,0.02131685413496804
0.35705222131218234,0.0008238365257787489,0.05705223129395489,0.002142786553787654
0.35109754749749983,0.00035534481224747854,0.05109754800357286,-0.010584997860641838
0.3170807188586392,0.0004306510319479592,0.017080731059045843,-0.004294955439155854
-0.29585785161495753,-0.001069031949037228,0.003091987637632796,0.002537237220581362
-0.7501240649388422,-0.0003627806925673225,0.0,-0.002020126851799601
0.04134447949905317,1.3281604644039424e-06,0.0,0.0002493139063338059
0.3168843531886734,0.008982775472248733,0.016884352796577524,0.004938217642728751
-0.7904431197852033,-0.00026289714990120007,0.0,-0.0023108537766896595
0.4060178313584338,0.0006634260881766894,0.10537411183647316,-0.001366872533660893
0.1143591405264044,-3.65912745637448e-05,0.0,-0.00029224640240964073
0.35362906459915094,0.006461348497216161,0.05362906460362119,-0.024025989280752398
0.6338476088726996,-0.000182094265650698,0.3338476096157013,-0.02386407772358467
0.4482407469148707,0.004551713362569319,0.14824074883135097,-0.022044357767801375
-0.2548579790508495,-0.0001549944269470773,0.0,-0.002826668039957126
-0.42585832734820833,-5.677181435388327e-05,0.0,-0.00825686312608219
0.5383870447802127,0.002240402850971066,0.23838704499330454,-0.06130435831607247
0.011310250211344922,-0.00010123785337585916,1.545210984034903e-06,-0.001339219814380788
0.45793419687545867,2.745228511388666e-05,0.15793422078238173,0.0014683232798011617
-0.4869255101946954,5.350154803755288e-05,0.0,0.0038758546634441735
-0.9997930157157027,0.002613813431199632,0.0,0.007530120537671571
0.48981862332798104,-0.001009695110071958,0.1898186233652505,-0.030622416248803144
0.3089732286652701,-0.0004941560867816958,0.00897322822199262,-0.004215575276186115
0.06033330909550571,-0.0011701024031920857,0.0,-0.0037884875452642458
-0.35757768790320693,-0.003996481251690117,0.0,-0.013942533238014938
-0.9316968512701153,0.00413478976190106,0.007824602771490729,0.06377948849835798
0.30011321352170295,-3.126102057560212e-06,0.00011322966339893139,-0.00363989046418988
-0.707069924557184,-0.001938177821138583,0.0,-0.0061895048749465295
0.11417353568374414,8.435983135550908e-05,0.0,-0.001601493309800649
0.3537394220349169,-0.020389141722109157,0.05373942196035993,-0.031166827896808556
0.4920643674009507,0.00030250489993433597,0.1920643677939009,-0.011567524881203169
0.3286609178910445,0.0002486058668816146,0.02866093301533281,0.005324865763104657
