,median,2.5%,97.5%
a,0.1794179442650145,-0.9178070605563439,0.7688314007025417
b,3.0465121557106378e-05,-0.01672428428680169,0.014020146164580229
m,1.402847883643124e-05,0.0,0.19202200930002786
kappa,-4.560843918107165e-05,-0.016250648951510883,0.009784800104861841
