kappa,mse
-1.0,81.61404820543905
-0.95,81.42045078452384
-0.9,81.21609651318519
-0.85,81.00315561366392
-0.8,80.71487162969314
-0.75,63.179234174999706
-0.7,62.084740602968644
-0.6499999999999999,60.58137255771302
-0.6,4.157186381588621
-0.55,4.311265500791791
-0.5,4.311261046261075
-0.44999999999999996,4.3112566122179885
-0.3999999999999999,4.311251961687234
-0.35,4.311246535066373
-0.29999999999999993,4.311239145416125
-0.25,4.311227383003978
-0.19999999999999996,4.31120625417679
-0.1499999999999999,4.311164451710313
-0.09999999999999998,4.311071105161602
-0.04999999999999993,4.310812300545834
0.0,4.309721480840296
0.050000000000000044,7.8692234081844346
0.10000000000000009,8.079435574848997
0.15000000000000013,11.527634632005098
0.20000000000000018,13.966551131669107
0.25,16.40083900682265
0.30000000000000004,18.835049744881342
0.3500000000000001,21.269064589680628
0.40000000000000013,22.642389195844626
0.4500000000000002,23.664579737917663
0.5,42.688672484037085
0.55,63.52913454013604
0.6000000000000001,63.28538713622987
0.6500000000000001,63.423518919535816
0.7000000000000002,64.08334315783722
0.75,67.81217838283658
0.8,63.917512376268085
0.8500000000000001,68.31847984587405
0.9000000000000001,69.48723854656737
0.9500000000000002,81.5695989525463
1.0,59.226486730755
