kappa,mse
-1.0,100.66945109677303
-0.95,100.64166820446064
-0.9,100.59227643698084
-0.85,100.53769757977601
-0.8,100.43540224132549
-0.75,100.26765378303296
-0.7,60.58224443462986
-0.6499999999999999,40.568620673924336
-0.6,40.40187062395155
-0.55,39.932724002279706
-0.5,4.0831498229231595
-0.44999999999999996,4.3112921406230456
-0.3999999999999999,4.311288302410001
-0.35,4.311281647046116
-0.29999999999999993,4.311274503469551
-0.25,4.311268194794958
-0.19999999999999996,4.311262593764164
-0.1499999999999999,4.311253973643363
-0.09999999999999998,4.311225521898159
-0.04999999999999993,4.311091890687759
0.0,4.309721480840296
0.050000000000000044,8.009953674338673
0.10000000000000009,13.865458295616857
0.15000000000000013,18.681654046312698
0.20000000000000018,22.557049463585628
0.25,24.45180329165156
0.30000000000000004,52.143002418059204
0.3500000000000001,62.11577142470927
0.40000000000000013,63.719937065780286
0.4500000000000002,64.35466840416892
0.5,64.51688136006184
0.55,67.80245383334822
0.6000000000000001,64.55841938800357
0.6500000000000001,81.66901940195001
0.7000000000000002,80.90916354282153
0.75,85.1176113156982
0.8,74.37161096463626
0.8500000000000001,82.7976488840245
0.9000000000000001,100.64769888172737
0.9500000000000002,84.47149304703478
1.0,79.80275411237356
