kappa,mse
-1.0,99.74496532726457
-0.95,99.4470693659426
-0.9,98.95940742904016
-0.85,97.97043512221175
-0.8,3.4847481999688927
-0.75,4.306268148089305
-0.7,4.3062665313359805
-0.6499999999999999,4.3062639343384195
-0.6,4.306261401663486
-0.55,4.306259045564178
-0.5,4.306256866437909
-0.44999999999999996,4.306254856462745
-0.3999999999999999,4.306252938951462
-0.35,4.306250763433909
-0.29999999999999993,4.306247198116874
-0.25,4.306239002637786
-0.19999999999999996,4.30621704647234
-0.1499999999999999,4.306154472816227
-0.09999999999999998,4.305964387098789
-0.04999999999999993,4.305301482126632
0.0,4.301603694246537
0.050000000000000044,5.605173394182518
0.10000000000000009,11.20843455514256
0.15000000000000013,14.716085980265659
0.20000000000000018,18.22608346745872
0.25,21.480962242151644
0.30000000000000004,22.99931028534323
0.3500000000000001,24.758378325840432
0.40000000000000013,24.32020409410164
0.4500000000000002,38.99367389852173
0.5,39.37328206645053
0.55,70.11591796158865
0.6000000000000001,40.073765923477396
0.6500000000000001,69.51712209485689
0.7000000000000002,70.00924792819681
0.75,100.06744570608586
0.8,100.07749360414259
0.8500000000000001,70.42570139060153
0.9000000000000001,70.02285606912733
0.9500000000000002,71.0346641884649
1.0,71.93850780141892
