,kappa_grid_best,mse_grid_best,joint_success,params_joint,mse_joint
L_comb,-0.5249999999999999,3.2499560064623485,True,"[0.16861105687382494, -0.8257165286006747, 0.47489803864477775, 0.09543738347213239]",0.9996629670893454
L_sym,-1.0,4.06069709503317,True,"[0.39418036867016387, -0.3545446470347173, 0.05442881647659553, 0.027979365451096225]",0.9996815578606217
