kappa,mse
-1.0,67.02212605660438
-0.95,66.81453122827207
-0.9,66.48273328664595
-0.85,65.67880348086597
-0.8,3.669782172986879
-0.75,4.309710458998186
-0.7,4.309710821418568
-0.6499999999999999,4.309710598462138
-0.6,4.309709865003929
-0.55,4.309708602411538
-0.5,4.309706705526065
-0.44999999999999996,4.309704007524803
-0.3999999999999999,4.309700314995097
-0.35,4.309695470141547
-0.29999999999999993,4.309689435694102
-0.25,4.30968230580987
-0.19999999999999996,4.309673787622783
-0.1499999999999999,4.30966004129827
-0.09999999999999998,4.309614992123608
-0.04999999999999993,4.309335781086508
0.0,4.30540548291344
0.050000000000000044,6.522632571754199
0.10000000000000009,8.765940482075077
0.15000000000000013,11.012338233859845
0.20000000000000018,13.260478881390597
0.25,15.509394882549373
0.30000000000000004,17.758700078982237
0.3500000000000001,20.00826697828471
0.40000000000000013,21.859090642612763
0.4500000000000002,22.915807848397
0.5,23.895334999248497
0.55,25.61444321254112
0.6000000000000001,25.913112112976457
0.6500000000000001,99.9740044621567
0.7000000000000002,70.96298553801766
0.75,100.5143465893796
0.8,100.11867507331343
0.8500000000000001,73.44767347800477
0.9000000000000001,100.50749509149092
0.9500000000000002,100.01122152820454
1.0,100.15159460564823
