lambda_b,lambda_k,joint_success,params_joint,a,b,m,kappa,mse_joint_plain,mse_joint_penalized
0.0,0.0,True,"[0.7008334862773276, 0.07149339781083106, 0.12121133782010943, -0.5981637281538428]",0.7008334862773276,0.07149339781083106,0.12121133782010943,-0.5981637281538428,0.9996159272418117,0.9996159272418117
0.0,0.01,True,"[0.5576751446451415, -0.7760302721931102, 0.2754411852092302, -0.016598855938937375]",0.5576751446451415,-0.7760302721931102,0.2754411852092302,-0.016598855938937375,0.9996839269759297,0.9996866821961145
0.0,0.1,True,"[0.26900668883545387, -0.8102149870424306, 0.5618819179346609, -0.001786062684209049]",0.26900668883545387,-0.8102149870424306,0.5618819179346609,-0.001786062684209049,0.9996890588178501,0.9996893778198412
0.01,0.0,False,null,,,,,,
0.01,0.01,False,null,,,,,,
0.01,0.1,True,"[0.8542107044379856, -0.16038261382499502, 0.16743315637959394, -0.8378640071117776]",0.8542107044379856,-0.16038261382499502,0.16743315637959394,-0.8378640071117776,1.072895958198957,1.143354793468471
0.1,0.0,False,null,,,,,,
0.1,0.01,True,"[0.258099875274894, -0.0002979851717388294, 0.5113643432273809, -0.020860366065131364]",0.258099875274894,-0.0002979851717388294,0.5113643432273809,-0.020860366065131364,0.9997027677247331,0.999707128152973
0.1,0.1,True,"[0.027686534331390577, -0.00031311038925271075, 0.7308357657347352, -0.00204555507649187]",0.027686534331390577,-0.00031311038925271075,0.7308357657347352,-0.00204555507649187,0.9997106323064093,0.999711060539778
