kappa,mse
-1.0,4.06069709503317
-0.975,4.061529030919751
-0.95,4.062401127984781
-0.925,4.063316379086496
-0.9,4.064278073038776
-0.875,4.065289832637907
-0.85,4.066355658541843
-0.825,4.067479980096261
-0.8,4.0686677144295444
-0.775,4.069924335423638
-0.75,4.0712559545240845
-0.725,4.072669415800364
-0.7,4.0741724082325135
-0.675,4.075773598915524
-0.6499999999999999,4.077482791783756
-0.625,4.079311117621613
-0.6,4.081271262621817
-0.575,4.083377744680886
-0.55,4.085647249118942
-0.5249999999999999,4.088099038757581
-0.5,4.090755457521903
-0.475,4.093642552259314
-0.44999999999999996,4.096790844682979
-0.42499999999999993,4.100236294738958
-0.3999999999999999,4.1040215088280485
-0.375,4.108197261754254
-0.35,4.112824420385387
-0.32499999999999996,4.117976379451414
-0.29999999999999993,4.123742143473881
-0.2749999999999999,4.1302302069786645
-0.25,4.137573381768641
-0.22499999999999998,4.14593465857173
-0.19999999999999996,4.155513992142378
-0.17499999999999993,4.166555401253549
-0.1499999999999999,4.179352655874196
-0.125,4.194249477892822
-0.09999999999999998,4.211625542353974
-0.07499999999999996,4.231850834954911
-0.04999999999999993,4.255174632972906
-0.02499999999999991,4.281480354934549
0.0,4.309721480840296
0.025000000000000133,4.335828451271341
0.050000000000000044,5.838385396372108
0.07499999999999996,6.620991021727104
0.10000000000000009,7.406602619553171
0.125,8.194675066232458
0.15000000000000013,8.98431463891763
0.17500000000000004,9.775105272552011
0.20000000000000018,10.56679270350491
0.2250000000000001,11.359140840522688
0.25,12.151974425097173
0.27500000000000013,12.945191780298678
0.30000000000000004,13.738723849216683
0.3250000000000002,14.532509916072794
0.3500000000000001,15.326498936419721
0.375,16.120657575159683
0.40000000000000013,16.914977780810467
0.42500000000000004,17.51100761330137
0.4500000000000002,18.036408637995567
0.4750000000000001,18.529141132796553
0.5,19.011863798588607
0.5250000000000001,19.48272310891887
0.55,20.066289543885706
0.5750000000000002,20.931232134638897
0.6000000000000001,21.40620144141137
0.625,20.694984223061496
0.6500000000000001,25.398785956275496
0.675,25.625792145414955
0.7000000000000002,27.223128863413653
0.7250000000000001,26.284791733849683
0.75,29.855851684066735
0.7750000000000001,60.73641777769346
0.8,82.5127805293039
0.8250000000000002,64.69752758194802
0.8500000000000001,66.29516266264697
0.875,67.62447570076485
0.9000000000000001,100.35037269899236
0.925,83.28778623534298
0.9500000000000002,81.82551361589597
0.9750000000000001,65.70370805068698
1.0,83.5746697136407
