,HSI,SSE,SZ
2018-01-02 16:00:00+00:00,0.12141166617619946,0.5694982193051232,0.6315024046285364
2018-01-03 16:00:00+00:00,0.4195616076453246,0.45227568816207436,0.3750506243438292
2018-01-04 16:00:00+00:00,0.19503479974619228,0.16349910138430968,0.010944707006587638
2018-01-05 16:00:00+00:00,0.016141661106339737,-0.0007759656578150406,0.001799040485363386
2018-01-08 16:00:00+00:00,0.46450677104425425,0.5991566819790138,0.6344188443645425
2018-01-09 16:00:00+00:00,0.15753146979998525,0.21317314491316927,-0.0586983040540642
2018-01-10 16:00:00+00:00,0.12185551060865028,0.09374240994198815,0.16558608315129122
2018-01-11 16:00:00+00:00,0.6743175227769186,0.09592924844120805,-0.011533111003225823
2018-01-12 16:00:00+00:00,0.016141661106339737,-0.0007759656578150406,0.001799040485363386
2018-01-15 16:00:00+00:00,1.111312055963336,0.2046997904655059,-0.4526744092251834
2018-01-16 16:00:00+00:00,0.18959339342145748,0.2155833562089027,-0.5037513294380231
2018-01-17 16:00:00+00:00,0.3205748745329399,0.8006303305466619,0.09924875446899975
2018-01-18 16:00:00+00:00,0.3070841822980482,0.34630672166119014,-0.1427740370806106
2018-01-19 16:00:00+00:00,0.016141661106339737,-0.0007759656578150406,0.001799040485363386
2018-01-22 16:00:00+00:00,1.4767429179597886,1.5359062698630201,1.5693311518314481
2018-01-23 16:00:00+00:00,0.07599182894070317,0.33541631612960116,0.3142106652876373
2018-01-24 16:00:00+00:00,-0.6371027766284012,-0.29015021692572734,-0.3267157191176315
2018-01-25 16:00:00+00:00,1.085823922991282,0.2539939077543598,0.03328286635216353
2018-01-26 16:00:00+00:00,0.016141661106339737,-0.0007759656578150406,0.001799040485363386
2018-01-29 16:00:00+00:00,-1.1553436233637853,-1.83521409470106,-1.6882573146964288
2018-01-30 16:00:00+00:00,0.6183810563306107,-0.19058734748717096,-0.7323301048227496
2018-01-31 16:00:00+00:00,-0.5109602495635945,-0.9015245007533089,-1.8530031671719849
2018-02-01 16:00:00+00:00,-0.07089917142352797,0.4021156741969042,0.38785481947087935
2018-02-02 16:00:00+00:00,0.016141661106339737,-0.0007759656578150406,0.001799040485363386
2018-02-05 16:00:00+00:00,-4.457908683031592,-2.467462539871182,-3.553934467228838
2018-02-06 16:00:00+00:00,-0.6133905995392678,-1.6949290418365657,-0.8742798940598496
2018-02-07 16:00:00+00:00,0.31301550783163556,-1.3250806193009534,0.8444143553252905
2018-02-08 16:00:00+00:00,-2.201700036035746,-3.813705025823678,-2.519447298674152
2018-02-09 16:00:00+00:00,0.016141661106339737,-0.0007759656578150406,0.001799040485363386
2018-02-12 16:00:00+00:00,0.8045138024196733,1.607880934527667,2.4552744371259987
2018-02-13 16:00:00+00:00,1.5942610226463985,0.4092255086755783,0.46393181136340816
2018-02-14 16:00:00+00:00,1.3872965947250226,-0.0007759656578150406,0.001799040485363386
2018-02-15 16:00:00+00:00,0.016141661106339737,-0.0007759656578150406,0.001799040485363386
2018-02-16 16:00:00+00:00,0.016141661106339737,-0.0007759656578150406,0.001799040485363386
2018-02-19 16:00:00+00:00,-0.5333806612284819,-0.0007759656578150406,0.001799040485363386
2018-02-20 16:00:00+00:00,1.2784498948249983,-0.0007759656578150406,0.001799040485363386
2018-02-21 16:00:00+00:00,-1.0364668071863228,1.9772169426783934,1.4906530951422985
2018-02-22 16:00:00+00:00,0.6986389938141682,0.5744848566165683,0.026770375673782577
2018-02-23 16:00:00+00:00,0.016141661106339737,-0.0007759656578150406,0.001799040485363386
2018-02-26 16:00:00+00:00,0.019498802687186973,0.08448936774923345,0.9341983645275441
2018-02-27 16:00:00+00:00,-0.9454028860473052,-0.9197038875412809,0.1373196524173687
2018-02-28 16:00:00+00:00,0.47033307079846387,0.4040186794560238,0.7285402809216845
2018-03-01 16:00:00+00:00,-1.0372487122641276,-0.5436614076582118,-0.5494209165979235
2018-03-02 16:00:00+00:00,0.016141661106339737,-0.0007759656578150406,0.001799040485363386
2018-03-05 16:00:00+00:00,-0.15154200911283175,0.9882980889005939,0.9614361975337328
2018-03-06 16:00:00+00:00,-0.7120940610315047,-0.505735922333361,-0.6480589223709806
2018-03-07 16:00:00+00:00,1.0755587514307612,0.4695462395782271,0.7215417200309303
2018-03-08 16:00:00+00:00,0.7969496988562487,0.5235248286168057,1.096563737350362
2018-03-09 16:00:00+00:00,0.016141661106339737,-0.0007759656578150406,0.001799040485363386
2018-03-12 16:00:00+00:00,1.378294444041507,0.08482395254205012,0.2884474121048624
2018-03-13 16:00:00+00:00,-0.35582967894211215,-0.5273026792656166,-0.6271766826285786
2018-03-14 16:00:00+00:00,0.2534660618326064,-0.008337387185898694,0.1507561226116925
2018-03-15 16:00:00+00:00,-0.0712971828862118,-0.5972344379774522,-0.6988149583984632
2018-03-16 16:00:00+00:00,0.016141661106339737,-0.0007759656578150406,0.001799040485363386
2018-03-19 16:00:00+00:00,0.12329750957915764,0.5824587830673758,0.16854998060780188
2018-03-20 16:00:00+00:00,-0.28682894728158165,-0.27252129729094543,-0.6079661001778669
2018-03-21 16:00:00+00:00,-0.7582414355213769,-0.4928931822435256,-0.6518488018237862
2018-03-22 16:00:00+00:00,-1.7323201560664572,-3.1819199725366887,-2.8355650219109774
2018-03-23 16:00:00+00:00,0.016141661106339737,-0.0007759656578150406,0.001799040485363386
2018-03-26 16:00:00+00:00,1.1264515767669454,0.404322630327616,2.190578553605705
2018-03-27 16:00:00+00:00,-1.7637738457625824,-1.3009731225027052,-0.9351954458813854
