scenario,MSE,a_T,b,m0,tau_m,gain_h,D,include_Tlog
full,0.43984426499317386,18.70610364646398,1e-06,0.0,49.99899130902534,0.0,0.02,False
no_linear,0.9851859505041989,0.0,1e-06,0.0,49.99899130902534,0.0,0.02,False
no_cubic,0.439844264978052,18.70610364646398,0.0,0.0,49.99899130902534,0.0,0.02,False
no_memory,0.43984426499317386,18.70610364646398,1e-06,0.0,49.99899130902534,0.0,0.02,False
no_field,0.43984426499317386,18.70610364646398,1e-06,0.0,49.99899130902534,0.0,0.02,False
no_noise,0.4401080397287738,18.70610364646398,1e-06,0.0,49.99899130902534,0.0,0.0,False
with_Tlog,1.204316893943233,18.70610364646398,1e-06,0.0,49.99899130902534,0.0,0.02,True
