lag,M_kernel
0.0,0.1
1.0,0.09801986733067553
2.0,0.09607894391523232
3.0,0.09417645335842488
4.0,0.09231163463866358
5.0,0.09048374180359596
6.0,0.08869204367171575
7.0,0.0869358235398806
8.0,0.08521437889662115
9.0,0.0835270211411272
10.0,0.0818730753077982
11.0,0.08025187979624786
12.0,0.07866278610665535
13.0,0.07710515858035663
14.0,0.07557837414557256
15.0,0.0740818220681718
16.0,0.0726149037073691
17.0,0.07117703227626097
18.0,0.0697676326071031
19.0,0.06838614092123559
20.0,0.06703200460356394
21.0,0.06570468198150568
22.0,0.06440364210831415
23.0,0.0631283645506926
24.0,0.061878339180614084
25.0,0.06065306597126335
26.0,0.05945205479701944
27.0,0.058274825237398964
28.0,0.05712090638488149
29.0,0.055989836656540205
30.0,0.05488116360940264
31.0,0.05379444375946745
32.0,0.052729242404304856
33.0,0.05168513344916992
34.0,0.05066169923655896
35.0,0.049658530379140954
36.0,0.04867522559599717
37.0,0.04771139155210344
38.0,0.04676664270099093
39.0,0.04584060113052235
40.0,0.044932896411722156
41.0,0.044043165450599935
42.0,0.043171052342907974
43.0,0.042316208231774885
44.0,0.04147829116815814
45.0,0.04065696597405991
46.0,0.039851904108451415
47.0,0.039062783535852116
48.0,0.03828928859751121
49.0,0.03753110988513996
50.0,0.036787944117144235
51.0,0.03605949401730783
52.0,0.03534546819587802
53.0,0.03464558103300574
54.0,0.033959552564493914
55.0,0.03328710836980796
56.0,0.032627979462303947
57.0,0.0319819021816304
58.0,0.03134861808826053
59.0,0.030727873860113126
60.0,0.030119421191220214
61.0,0.029523016692401424
62.0,0.028938421793905062
63.0,0.028365402649977042
64.0,0.027803730045319414
65.0,0.02725317930340126
66.0,0.026713530196585036
67.0,0.0261845668580326
68.0,0.025666077695355588
69.0,0.025157855305975654
70.0,0.02465969639416065
71.0,0.024171401689703647
72.0,0.02369277586821218
73.0,0.023223627472975884
74.0,0.022763768838381274
75.0,0.022313016014842982
76.0,0.021871188695221477
77.0,0.021438110142697794
78.0,0.021013607120076473
79.0,0.020597509820488344
80.0,0.02018965179946554
81.0,0.019789869908361468
82.0,0.019398004229089192
83.0,0.019013898010152058
84.0,0.018637397603940998
85.0,0.018268352405273466
86.0,0.017906614791149324
87.0,0.01755204006169969
88.0,0.017204486382305054
89.0,0.01686381472685955
90.0,0.016529888822158653
91.0,0.016202575093388075
92.0,0.015881742610692067
93.0,0.015567263036799731
94.0,0.01525901057568839
95.0,0.014956861922263507
96.0,0.014660696213035016
97.0,0.014370394977770293
98.0,0.0140858420921045
99.0,0.013806923731089283
100.0,0.013533528323661271
101.0,0.013265546508012172
102.0,0.013002871087842592
103.0,0.012745396989482075
104.0,0.012493021219858243
105.0,0.012245642825298192
106.0,0.012003162851145673
107.0,0.01176548430217792
108.0,0.011532512103806252
109.0,0.011304153064044985
110.0,0.011080315836233388
111.0,0.010860910882495797
112.0,0.010645850437925281
113.0,0.010435048475476504
114.0,0.010228420671553749
115.0,0.010025884372280375
116.0,0.009827358560436155
117.0,0.009632763823049305
118.0,0.009442022319630235
119.0,0.009255057751034329
120.0,0.009071795328941252
121.0,0.008892161745938635
122.0,0.00871608514619813
123.0,0.008543495096732124
124.0,0.008374322559219596
125.0,0.008208499862389881
126.0,0.008045960674953244
127.0,0.007886639979067495
128.0,0.007730474044329975
129.0,0.007577400402284548
130.0,0.007427357821433388
131.0,0.007280286282743559
132.0,0.007136126955638606
133.0,0.006994822174465536
134.0,0.006856315415427791
135.0,0.006720551273974976
136.0,0.006587475442640295
137.0,0.006457034689316847
138.0,0.006329176835964074
139.0,0.006203850737735832
140.0,0.006081006262521798
141.0,0.005960594270893937
142.0,0.005842566596450083
143.0,0.005726876026546736
144.0,0.005613476283413373
145.0,0.005502322005640724
146.0,0.005393368730035602
147.0,0.005286572873835037
148.0,0.0051818917172725834
149.0,0.005079283386489851
150.0,0.004978706836786395
151.0,0.004880121836201297
152.0,0.004783488949419837
153.0,0.004688769521998849
154.0,0.00459592566490442
155.0,0.00450492023935578
156.0,0.004415716841969286
157.0,0.0043282797901965896
158.0,0.004242574108051139
159.0,0.004158565512117316
160.0,0.0040762203978366215
161.0,0.00399550582606539
162.0,0.003916389509898707
163.0,0.0038388398017552075
164.0,0.003762825680717622
165.0,0.0036883167401240017
166.0,0.0036152831754046426
167.0,0.003543695772159864
168.0,0.0034735258944738564
169.0,0.0034047454734599347
170.0,0.0033373269960326082
171.0,0.003271243493901982
172.0,0.003206468532786077
173.0,0.0031429762018367713
174.0,0.0030807411032751078
175.0,0.00301973834223185
176.0,0.0029599435167892
177.0,0.0029013327082197055
178.0,0.0028438824714184506
179.0,0.0027875698255247017
180.0,0.0027323722447292562
181.0,0.002678267649263818
182.0,0.002625234396568796
183.0,0.002573251272635994
184.0,0.0025222974835227216
185.0,0.002472352647033939
186.0,0.0024233967845691115
187.0,0.0023754103131305
188.0,0.0023283740374897013
189.0,0.002282269142509298
190.0,0.0022370771856165604
191.0,0.0021927800894261623
192.0,0.0021493601345089924
193.0,0.0021067999523041434
194.0,0.0020650825181712565
195.0,0.002024191144580439
196.0,0.0019841094744370287
197.0,0.0019448214745385391
198.0,0.0019063114291611638
199.0,0.0018685639337732774
200.0,0.001831563888873418
201.0,0.0017952964939502868
202.0,0.0017597472415623394
203.0,0.001724901911534628
204.0,0.001690746565270528
205.0,0.0016572675401761256
206.0,0.001624451444194987
207.0,0.00159228515045117
208.0,0.0015607557919982832
209.0,0.001529850756672552
210.0,0.0014995576820477704
211.0,0.0014698644504901786
