tau,phi_data,full,no_linear,no_cubic,no_memory,no_field,no_noise,with_Tlog
0.3163163163163163,0.20342637101614672,0.002429736342045113,0.6018032615002598,0.0024297363573729767,0.002429736342045113,0.002429736342045113,0.001534922752658844,0.7391054802266578
0.3173173173173173,0.2088634341145175,0.0023975624314584772,0.6018165837677457,0.0023975624464993434,0.0023975624314584772,0.0023975624314584772,0.0015061815873930226,0.7391085188638855
0.3183183183183183,0.21430049721288782,0.0022130440971223414,0.6016769591605106,0.002213044111881584,0.0022130440971223414,0.0022130440971223414,0.0014779785955169736,0.7389585537284408
0.31931931931931934,0.21973756031125838,0.00236972012781703,0.6018750738442972,0.002369720142299919,0.00236972012781703,0.00236972012781703,0.001450303699826284,0.7391491359555503
0.3203203203203203,0.22517462340962888,0.002089450903645815,0.6016391770048033,0.0020894509178575275,0.002089450903645815,0.002089450903645815,0.0014231470118104645,0.7389021380397692
0.3213213213213213,0.2306116865079992,0.0022069529890469427,0.6017958034819889,0.0022069530029925526,0.0022069529890469427,0.0022069529890469427,0.0013964988281196888,0.7390522884344228
0.32232232232232233,0.23604874960636998,0.0021274597929938615,0.6017576348839445,0.002127459806678353,0.0021274597929938615,0.0021274597929938615,0.0013703496270976918,0.7390048322133852
0.3233233233233233,0.24148581270474032,0.002322107375878773,0.6019921185684186,0.002322107389307034,0.002322107375878773,0.002322107375878773,0.0013446900653795884,0.7392309168845014
0.32432432432432434,0.24692287580311087,0.00242895043543316,0.6021424424719097,0.0024289504486099916,0.00242895043543316,0.00242895043543316,0.0013195109745533988,0.7393686083778312
0.3253253253253253,0.25235993890148134,0.0027479624804101466,0.6025069359786237,0.0027479624933402585,0.0027479624804101466,0.0027479624804101466,0.0012948033578840845,0.7397178912247266
0.3263263263263263,0.25779700199985167,0.0028428085937760744,0.6026532369991532,0.002842808606464093,0.0028428085937760744,0.0028428085937760744,0.001270558387098928,0.7398424413238636
0.32732732732732733,0.26323406509822245,0.002474854716565959,0.6023385140061513,0.00247485472901642,0.002474854716565959,0.002474854716565959,0.0012467673992331034,0.7395036352301811
0.3283283283283283,0.2686711281965928,0.0024151094478795944,0.6023251097487788,0.0024151094600969375,0.0024151094478795944,0.0024151094478795944,0.001223421893534316,0.7394724919583322
0.32932932932932935,0.27410819129496333,0.0021352508631262736,0.6020904734554456,0.0021352508751148634,0.0021352508631262736,0.0021352508631262736,0.001200513528425399,0.7392206998029826
0.3303303303303303,0.2795452543933339,0.0019915089287618026,0.6019867135087601,0.001991508940525918,0.0019915089287618026,0.0019915089287618026,0.001178034118523788,0.7391044987593586
0.3313313313313313,0.28498231749170416,0.0022567665005546553,0.6022892615252792,0.002256766512098497,0.0022567665005546553,0.0022567665005546553,0.0011559756317168024,0.7393967815236274
0.33233233233233234,0.29041938059007494,0.002342143331499885,0.6024168957031547,0.002342143342827582,0.002342143331499885,0.002342143331499885,0.0011343301862916945,0.7395086775044754
0.3333333333333333,0.29585644368844527,0.0021583610876263377,0.6022769694725876,0.002158361098741939,0.0021583610876263377,0.0021583610876263377,0.0011130900481194357,0.7393509178437876
0.33433433433433435,0.3012935067868158,0.0019149997267657543,0.6020740228341926,0.0019149997376732278,0.0019149997267657543,0.0019149997267657543,0.0010922476278912364,0.7391330917979652
0.3353353353353353,0.3067305698851864,0.0018857046669093125,0.6020805855972833,0.0018857046776125524,0.0018857046669093125,0.0018857046669093125,0.0010717954784068128,0.7391288539091102
0.3363363363363363,0.31216763298355665,0.0016068395850053498,0.6018370297933483,0.0016068395955081802,0.0016068395850053498,0.0016068395850053498,0.001051726291913429,0.7388745768069857
0.33733733733733734,0.31760469608192743,0.001442389371492165,0.6017026671572429,0.0014423893817983359,0.001442389371492165,0.001442389371492165,0.0010320328974947654,0.7387342541679649
0.3383383383383383,0.32304175918029776,0.001477845236585814,0.6017651312978496,0.0014778452466990065,0.001477845236585814,0.001477845236585814,0.0010127082585086806,0.7387933858230872
0.33933933933933935,0.3284788222786683,0.0016814665389404974,0.6019964247806417,0.0016814665488643253,0.0016814665389404974,0.0016814665389404974,0.0009937454700729505,0.7390202395902662
0.34034034034034033,0.33391588537703887,0.0017718555350259842,0.6021182987308735,0.0017718555447639947,0.0017718555350259842,0.0017718555350259842,0.000975137756598086,0.7391334260268853
0.34134134134134136,0.3393529484754094,0.0012799612257122879,0.6016595818940212,0.0012799612352679614,0.0012799612257122879,0.0012799612257122879,0.0009568784693663492,0.7386639022797558
0.34234234234234234,0.3447900115737799,0.0013169284513923887,0.6017205159560921,0.001316928460769136,0.0013169284513923887,0.0013169284513923887,0.0009389610841561013,0.7387228211834501
0.3433433433433433,0.35022707467215025,0.0013066903278085948,0.6017349368737929,0.0013066903370097663,0.0013066903278085948,0.0013066903278085948,0.0009213791989106349,0.7387341236963785
0.34434434434434436,0.3556641377705208,0.0013650836935430461,0.6018177975736881,0.0013650837025719295,0.0013650836935430461,0.0013650836935430461,0.0009041265314506558,0.7388136543538826
0.34534534534534533,0.36110120086889136,0.0016630882373595876,0.6021413628573329,0.001663088246219409,0.0016630882373595876,0.0016630882373595876,0.0008871969172296001,0.7391324003971756
0.34634634634634637,0.3665382639672619,0.0012188864792993105,0.6017283019227164,0.001218886487993238,0.0012188864792993105,0.0012188864792993105,0.0008705843071309806,0.7387085517570492
0.34734734734734735,0.3719753270656324,0.0010777240149817235,0.6016099626805641,0.0010777240235128605,0.0010777240149817235,0.0010777240149817235,0.0008542827653069788,0.7385873613027182
0.3483483483483483,0.37741239016400274,0.0011758433817806607,0.6017282620267255,0.0011758433901520547,0.0011758433817806607,0.0011758433817806607,0.0008382864670575085,0.7387050787072409
0.34934934934934936,0.3828494532623733,0.0008371904007372295,0.6014116262932293,0.0008371904089518722,0.0008371904007372295,0.0008371904007372295,0.0008225896967489936,0.7383856567938336
0.35035035035035034,0.38828651636074385,0.0011169994489881661,0.601707111370389,0.0011169994570489918,0.0011169994489881661,0.0011169994489881661,0.0008071868457721161,0.738684336811801
0.35135135135135137,0.3937235794591144,0.0011698288935069994,0.6017808562199297,0.001169828901416889,0.0011698288935069994,0.0011698288935069994,0.0007920724105378057,0.738755683869876
0.35235235235235235,0.39916064255748496,0.0013174103315831847,0.6019503422852347,0.0013174103393449644,0.0013174103315831847,0.0013174103315831847,0.0007772409905107534,0.7389214361822538
0.3533533533533533,0.40459770565585523,0.0011784390137534763,0.6018360390315635,0.0011784390213699202,0.0011784390137534763,0.0011784390137534763,0.0007626872862797475,0.7388002954919495
0.35435435435435436,0.4100347687542258,0.0013192885989996538,0.6019989544670031,0.0013192886064734826,0.0013192885989996538,0.0013192885989996538,0.0007484060976641421,0.7389586418294776
0.35535535535535534,0.41547183185259634,0.0015084933656916654,0.6022128624680358,0.0015084933730255504,0.0015084933656916654,0.0015084933656916654,0.0007343923218557823,0.7391650157245065
0.3563563563563564,0.4209088949509669,0.0015268693124171895,0.6022594844756722,0.0015268693196137523,0.0015268693124171895,0.0015268693124171895,0.0007206409515957202,0.7392002393102474
0.35735735735735735,0.42634595804933745,0.0015452060520839107,0.6023064113626495,0.0015452060591457227,0.0015452060520839107,0.0015452060520839107,0.0007071470733850733,0.7392351082197208
0.35835835835835833,0.4317830211477077,0.0015703951044271703,0.6023605339145572,0.001570395111356755,0.0015703951044271703,0.0015703951044271703,0.0006939058657293824,0.7392765198797696
0.35935935935935936,0.4372200842460783,0.0013681478306161647,0.6021876918009363,0.0013681478374159982,0.0013681478306161647,0.0013681478306161647,0.0006809125974158453,0.7390901914480495
0.36036036036036034,0.44265714734444883,0.0013129942258401246,0.602158156311027,0.001312994232512635,0.0013129942258401246,0.0013129942258401246,0.0006681626258228081,0.7390506586080825
0.3613613613613614,0.4480942104428194,0.001257873592640677,0.6021276210509372,0.0012578735991882481,0.001257873592640677,0.001257873592640677,0.000655651395260911,0.7390108662436151
0.36236236236236236,0.45353127354118994,0.0013110756537744214,0.6022043763608118,0.0013110756601993922,0.0013110756537744214,0.0013110756537744214,0.0006433744353452958,0.7390791095543434
0.36336336336336333,0.45896833663956027,0.00148669100143628,0.6024045411566001,0.0014866910077409466,0.00148669100143628,0.00148669100143628,0.0006313273593982942,0.7392694845066692
0.36436436436436437,0.4473397704179971,0.001246933831907934,0.6021926218022428,0.0012469338380945501,0.001246933831907934,0.001246933831907934,0.0006195058628820247,0.7390442105704267
0.36536536536536535,0.4293115932014589,0.0011985583768890453,0.6021675947507507,0.00119855838295982,0.0011985583768890453,0.0011985583768890453,0.0006079057218603396,0.7390100471530042
0.3663663663663664,0.4112834159849192,0.0014727032740936186,0.6024641822294117,0.001472703280050721,0.0014727032740936186,0.0014727032740936186,0.0005965227914895705,0.739298137969895
0.36736736736736736,0.393255238768381,0.0012962606456169438,0.6023153154982457,0.0012962606514625038,0.0012962606456169438,0.0012962606456169438,0.0005853530045375364,0.7391353801256777
0.3683683683683684,0.37522706155184127,0.0011073737692928105,0.6021507006614406,0.0011073737750289156,0.0011073737692928105,0.0011073737692928105,0.0005743923699302807,0.7389599217886421
0.36936936936936937,0.35719888433530306,0.0011271401255114996,0.6021912021829973,0.0011271401311401987,0.0011271401255114996,0.0011271401255114996,0.0005636369713260224,0.7389928652373423
0.37037037037037035,0.33917070711876485,0.0012750807041753195,0.6023602480485848,0.0012750807096986237,0.0012750807041753195,0.0012750807041753195,0.0005530829657158084,0.7391537361696371
0.3713713713713714,0.32114252990222514,0.0012534925353086728,0.6023625353284177,0.0012534925407285563,0.0012534925353086728,0.0012534925353086728,0.0005427265820503692,0.7391448362354837
0.37237237237237236,0.30311435268568687,0.0014960792788540611,0.6026285932859009,0.00149607928417246,0.0014960792788540611,0.0014960792788540611,0.000532564119892686,0.7393998736287383
0.3733733733733734,0.2850861754691472,0.0016395957778127506,0.6028001233936706,0.0016395957830315669,0.0016395957778127506,0.0016395957778127506,0.0005225919480957885,0.7395556076407074
0.3743743743743744,0.267057998252609,0.0017774271740289046,0.602968655720337,0.001777427179150004,0.0017774271740289046,0.0017774271740289046,0.0005128065035053106,0.7397054277788427
0.37537537537537535,0.24902982103607077,0.0018550793895678304,0.6030795897353948,0.0018550793945930435,0.0018550793895678304,0.0018550793895678304,0.0005032042896863403,0.7397948442489186
0.3763763763763764,0.2310016438195311,0.002286339962876675,0.6035455861325181,0.002286339967807798,0.002286339962876675,0.002286339962876675,0.0004937818756741099,0.7402376487929692
0.37737737737737737,0.21297346660299285,0.002202455228052006,0.6035045125012617,0.0022024552328908063,0.002202455228052006,0.002202455228052006,0.0004845358947480785,0.7401650918692859
0.3783783783783784,0.19494528938645317,0.0017601090677057088,0.6031034067172574,0.0017601090724539141,0.0017601090677057088,0.0017601090677057088,0.00047546304322896953,0.7397338614088799
0.3793793793793794,0.1769171121699149,0.0020483233716635054,0.6034245785420165,0.0020483233763228066,0.0020483233716635054,0.0020483233716635054,0.0004665600792983345,0.7400329832739121
0.38038038038038036,0.1588889349533767,0.001918337350158815,0.6033329468043678,0.00191833735473088,0.001918337350158815,0.001918337350158815,0.00045782382184021914,0.73991370057078
0.3813813813813814,0.14086075773683698,0.001904014498875177,0.6033545442710835,0.001904014503361638,0.001904014498875177,0.001904014498875177,0.00044925114930451993,0.7399098806202644
0.38238238238238237,0.12283258052029877,0.002130534463251322,0.6036167163605018,0.0021305344676537824,0.002130534463251322,0.002130534463251322,0.00044083899859162354,0.7401467068203995
0.3833833833833834,0.10480440330375912,0.0017698678899743076,0.6032959434594594,0.0017698678942943422,0.0017698678899743076,0.0017698678899743076,0.00043258436395793146,0.7397961534999952
0.3843843843843844,0.08677622608722085,0.0014861473944671592,0.6030453632168162,0.0014861473987063073,0.0014861473944671592,0.0014861473944671592,0.00042448429594187857,0.7395223568890117
0.38538538538538536,0.06874804887068264,0.0011377433758299228,0.6027247868337037,0.001137743379989697,0.0011377433758299228,0.0011377433758299228,0.00041653590031006163,0.7391836909323125
0.3863863863863864,0.050719871654142934,0.000957453082019674,0.602565800370279,0.0009574530861015584,0.000957453082019674,0.000957453082019674,0.0004087363370231014,0.7390129563574568
0.38738738738738737,0.032691694437604724,0.0010275402738259918,0.6026538154878169,0.0010275402778314444,0.0010275402738259918,0.0010275402738259918,0.00040108281922086896,0.7390924203392993
0.3883883883883884,0.014663517221065014,0.001113242269521135,0.6027587577797926,0.0011132422734515873,0.001113242269521135,0.001113242269521135,0.0003935726122267132,0.7391873235461153
0.3893893893893894,-0.003364659995473196,0.0011477071449850211,0.602814067706592,0.0011477071488418778,0.0011477071449850211,0.0011477071449850211,0.0003862030325703343,0.7392308173414442
0.39039039039039036,-0.021392837212011406,0.0008433805127644487,0.6025312314745279,0.0008433805165490879,0.0008433805127644487,0.0008433805127644487,0.0003789714470289535,0.7389353505640416
0.3913913913913914,-0.039421014428551115,0.0003651051868268018,0.6020687480850666,0.00036510519054057497,0.0003651051868268018,0.0003651051868268018,0.0003718752716864369,0.7384657691941447
0.3923923923923924,-0.057449191645089326,0.0003691502535049126,0.6020796294652829,0.000369150257149146,0.0003691502535049126,0.0003691502535049126,0.000364911971010037,0.7384783454247975
0.3933933933933934,-0.07547736886162904,0.0002677883219425016,0.6019851795904266,0.00026778832551849744,0.0002677883219425016,0.0002677883219425016,0.00035807905694442213,0.738385354912607
0.3943943943943944,-0.0935055460781673,0.00035474315501332566,0.602077148495524,0.0003547431585223616,0.00035474315501332566,0.00035474315501332566,0.0003513740880226699,0.7384805244118102
0.39539539539539537,-0.11153372329470546,0.0004886319067837971,0.6022176795335552,0.0004886319102271271,0.0004886319067837971,0.0004886319067837971,0.00034479466849390725,0.738622474011343
0.3963963963963964,-0.12956190051124516,0.0005071583205159986,0.6022453552773067,0.0005071583238948528,0.0005071583205159986,0.0005071583205159986,0.0003383384474672854,0.7386489103346132
0.3973973973973974,-0.14759007772778343,0.0006498406638257401,0.602397533854525,0.000649840667141326,0.0006498406638257401,0.0006498406638257401,0.0003320031180719833,0.7387993544757183
0.3983983983983984,-0.16561825494432314,0.0006835606718455621,0.6024434217986925,0.0006835606750990645,0.0006835606718455621,0.0006835606718455621,0.00032578641663294044,0.7388406909429546
0.3993993993993994,-0.1836464321608613,0.0007768801756935134,0.6025495406400044,0.0007768801788860948,0.0007768801756935134,0.0007768801756935134,0.00031968612186202363,0.7389414842890588
0.40040040040040037,-0.20167460937739956,0.0006212574993557927,0.6024084646927179,0.0006212575024885941,0.0006212574993557927,0.0006212574993557927,0.00031370005406433876,0.7387931955083978
0.4014014014014014,-0.21970278659393927,0.0005736663182342867,0.6023725062328802,0.0005736663213084273,0.0005736663182342867,0.0005736663182342867,0.00030782607435940495,0.7387528008972576
0.4024024024024024,-0.23773096381047742,0.0006023191287688366,0.6024119006280343,0.0006023191317854145,0.0006023191287688366,0.0006023191287688366,0.00030206208391691126,0.738788515523301
0.4034034034034034,-0.25575914102701713,0.0007553107714439976,0.6025761703742486,0.0007553107744040908,0.0007553107714439976,0.0007553107714439976,0.00029640602320678446,0.7389484367501424
