tau,phi_data,phi_full,residual_full
0.0,0.6028238917084621,0.6028238917084621,0.0
0.001001001001001,0.597337055164298,0.5915971219367138,0.00573993322758426
0.002002002002002,0.5918502186201341,0.5803113620686482,0.011538856551485899
0.003003003003003,0.58636338207597,0.5695953716358735,0.01676801044009657
0.004004004004004,0.5808765455318061,0.5591180970614116,0.021758448470394542
0.005005005005005,0.5753897089876421,0.5482581087863737,0.02713160020126837
0.006006006006006,0.5699028724434781,0.5377313729764198,0.03217149946705833
0.007007007007007,0.5644160358993141,0.5276880387705073,0.03672799712880681
0.008008008008008,0.5589291993551502,0.5177438587788693,0.04118534057628087
0.009009009009009,0.5534423628109861,0.5080458300952614,0.04539653271572475
0.01001001001001,0.5479555262668222,0.4983619793729766,0.0495935468938456
0.011011011011011,0.5424686897226582,0.4892062923175103,0.05326239740514788
0.012012012012012,0.5369818531784942,0.4802017023889957,0.05678015078949855
0.013013013013013,0.5314950166343302,0.4712232271264168,0.0602717895079134
0.014014014014014,0.5260081800901663,0.4626253268356359,0.06338285325453036
0.015015015015015,0.5205213435460022,0.4540563423072792,0.06646500123872301
0.016016016016016,0.5150345070018383,0.4453821845628123,0.06965232243902597
0.017017017017017,0.5095476704576742,0.4371163034434406,0.07243136701423364
0.018018018018018,0.5040608339135103,0.4287394070656046,0.07532142684790571
0.019019019019019,0.4985739973693462,0.4208872010551531,0.07768679631419312
0.02002002002002,0.4930871608251823,0.4129961651560905,0.08009099566909178
0.021021021021021,0.4876003242810183,0.4052258732500303,0.082374451030988
0.022022022022022,0.4821134877368543,0.3975017659820963,0.08461172175475801
0.023023023023023,0.4766266511926903,0.3903033665534806,0.08632328463920974
0.024024024024024,0.4711398146485263,0.3829640660688114,0.08817574857971489
0.025025025025025,0.4656529781043623,0.3757073782476371,0.08994559985672518
0.026026026026026,0.4601661415601983,0.3686018247727897,0.09156431678740862
0.027027027027027,0.4546793050160344,0.3618063871837548,0.09287291783227958
0.028028028028028,0.4491924684718704,0.3551047865700401,0.09408768190183031
0.029029029029029,0.4437056319277064,0.3485381394575336,0.09516749247017281
0.03003003003003,0.4382187953835424,0.3420980729878872,0.09612072239565522
0.031031031031031,0.4327319588393784,0.3361211034879582,0.09661085535142017
0.032032032032032,0.4272451222952144,0.3297459290726824,0.09749919322253198
0.033033033033033,0.4217582857510504,0.3234689419776859,0.09828934377336451
0.034034034034034,0.4162714492068864,0.3172491240251919,0.09902232518169451
0.035035035035035,0.4107846126627225,0.3114320077657523,0.09935260489697018
0.036036036036036,0.4052977761185584,0.3058265172875199,0.09947125883103847
0.037037037037037,0.3998109395743945,0.3000771558757558,0.09973378369863872
0.038038038038038,0.3943241030302304,0.2942900630807995,0.10003403994943089
0.039039039039039,0.3888372664860665,0.2886144707977769,0.10022279568828957
0.04004004004004,0.3833504299419025,0.2833404631190094,0.10000996682289309
0.041041041041041,0.3778635933977385,0.2781837611582008,0.09967983223953769
0.042042042042042,0.3723767568535745,0.2730835575177053,0.09929319933586922
0.043043043043043,0.3668899203094106,0.2678368795468403,0.09905304076257027
0.044044044044044,0.3614030837652465,0.2628681586421866,0.09853492512305989
0.045045045045045,0.3559162472210825,0.2579693579642568,0.09794688925682571
0.046046046046046,0.3504294106769186,0.2531827074682481,0.09724670320867046
0.047047047047047,0.3449425741327546,0.2486163648976443,0.09632620923511029
0.048048048048048,0.3394557375885906,0.2440058299671193,0.09544990762147129
0.049049049049049,0.3339689010444266,0.2395727812708031,0.09439611977362353
0.05005005005005,0.3284820645002627,0.2351003513637202,0.09338171313654248
0.051051051051051,0.3229952279560986,0.2307560193585286,0.09223920859756998
0.052052052052052,0.3175083914119346,0.2265615364933778,0.09094685491855681
0.053053053053053,0.3120215548677706,0.2220274876850216,0.08999406718274902
0.054054054054054,0.3065347183236066,0.2178060628089289,0.08872865551467773
0.055055055055055,0.3010478817794427,0.2136335129321289,0.0874143688473138
0.056056056056056,0.2955610452352787,0.2095053585630945,0.08605568667218422
0.057057057057057,0.2900742086911147,0.2055273231164359,0.08454688557467882
0.058058058058058,0.2845873721469507,0.2019781467852735,0.08260922536167717
0.059059059059059,0.2791005356027867,0.1980228010600839,0.08107773454270278
0.06006006006006,0.2736136990586227,0.1945087075887728,0.0791049914698499
0.061061061061061,0.2681268625144588,0.1905296545297363,0.07759720798472247
0.062062062062062,0.2626400259702947,0.1868949753723069,0.07574505059798778
0.063063063063063,0.2571531894261308,0.1834279822053151,0.07372520722081571
0.064064064064064,0.2516663528819667,0.1801106865229386,0.0715556663590281
0.065065065065065,0.2461795163378027,0.1768805325091067,0.06929898382869598
0.066066066066066,0.2406926797936388,0.1737273031470936,0.0669653766465452
0.067067067067067,0.2352058432494748,0.170404474359723,0.0648013688897518
0.068068068068068,0.2297190067053108,0.1671211168795676,0.06259788982574321
0.069069069069069,0.2242321701611468,0.1641635695699798,0.060068600591167004
0.07007007007007,0.2187453336169828,0.1610513357193792,0.0576939978976036
0.071071071071071,0.2132584970728189,0.1577802844208677,0.055478212651951214
0.072072072072072,0.2077716605286548,0.1545989913273002,0.053172669201354605
0.073073073073073,0.2022848239844908,0.1515200771968671,0.05076474678762369
0.074074074074074,0.1967979874403269,0.1487824214178554,0.048015566022471506
0.075075075075075,0.1913111508961629,0.1460250097542982,0.045286141141864716
0.076076076076076,0.1858243143519989,0.1434289517966005,0.042395362555398386
0.077077077077077,0.1803374778078349,0.1406577332075827,0.0396797446002522
0.078078078078078,0.1748506412636709,0.1380556809547046,0.036794960308966285
