tau,phi_data,phi_sim_v2
0.0,0.6028238917084621,0.6028238917084621
0.001001001001001001,0.597337055164298,0.5938404950745075
0.002002002002002002,0.5918502186201341,0.5855981725629799
0.003003003003003003,0.58636338207597,0.5791225103529803
0.004004004004004004,0.5808765455318061,0.5716376678252805
0.005005005005005005,0.5753897089876421,0.56497905579615
0.006006006006006006,0.5699028724434781,0.5580652646243542
0.007007007007007007,0.5644160358993141,0.5500283662768605
0.008008008008008008,0.5589291993551502,0.5432776305399574
0.009009009009009009,0.5534423628109861,0.535757000696232
0.01001001001001001,0.5479555262668222,0.5283302929521007
0.011011011011011011,0.5424686897226582,0.5214220378008656
0.012012012012012012,0.5369818531784942,0.5129806618391479
0.013013013013013013,0.5314950166343302,0.5073720336190072
0.014014014014014014,0.5260081800901663,0.4999726534260299
0.015015015015015015,0.5205213435460022,0.49434441918491084
0.016016016016016016,0.5150345070018383,0.4879260007326489
0.017017017017017015,0.5095476704576742,0.48298979787657775
0.018018018018018018,0.5040608339135103,0.4759248510748248
0.01901901901901902,0.49857399736934627,0.46930210667952615
0.02002002002002002,0.4930871608251823,0.4634173923204202
0.02102102102102102,0.4876003242810183,0.45506291970433466
0.022022022022022022,0.4821134877368543,0.44985765615579826
0.023023023023023025,0.4766266511926903,0.44543583640134093
0.024024024024024024,0.47113981464852633,0.440657409966686
0.025025025025025023,0.46565297810436235,0.4355699346437617
0.026026026026026026,0.46016614156019836,0.4296482687108887
0.02702702702702703,0.4546793050160344,0.42523443193096633
0.028028028028028028,0.4491924684718704,0.4206710417739751
0.029029029029029027,0.4437056319277064,0.415486069093576
0.03003003003003003,0.4382187953835424,0.40998195335256366
0.031031031031031032,0.43273195883937843,0.4041835722961397
0.03203203203203203,0.4272451222952144,0.39759274157986163
0.03303303303303303,0.42175828575105045,0.3935482239430879
0.03403403403403403,0.41627144920688647,0.38615566068523033
0.035035035035035036,0.4107846126627225,0.38066482110032934
0.036036036036036036,0.40529777611855844,0.3757818510727437
0.037037037037037035,0.3998109395743945,0.3716598252472516
0.03803803803803804,0.39432410303023047,0.36849513912752796
0.03903903903903904,0.3888372664860665,0.3646033093407445
0.04004004004004004,0.3833504299419025,0.3594769528531214
0.04104104104104104,0.37786359339773856,0.3554392401488241
0.04204204204204204,0.3723767568535745,0.34946334685144903
0.043043043043043044,0.3668899203094106,0.34626092539348013
0.044044044044044044,0.36140308376524655,0.341512965342648
0.04504504504504504,0.35591624722108256,0.3363101603579721
0.04604604604604605,0.3504294106769186,0.33121107697289476
0.04704704704704705,0.3449425741327546,0.3267578831329438
0.04804804804804805,0.3394557375885906,0.3220319821136019
0.04904904904904905,0.33396890104442667,0.32005412554023444
0.050050050050050046,0.3284820645002627,0.31509139262377994
0.05105105105105105,0.32299522795609864,0.3109460046627987
0.05205205205205205,0.31750839141193465,0.30685102103818335
0.05305305305305305,0.31202155486777067,0.30281055826133807
0.05405405405405406,0.3065347183236066,0.2988507717906822
0.055055055055055056,0.3010478817794427,0.29440604487337535
0.056056056056056056,0.2955610452352787,0.2899183072686924
0.057057057057057055,0.2900742086911147,0.28521104384214085
0.058058058058058054,0.28458737214695073,0.2799395567296341
0.05905905905905906,0.2791005356027867,0.2764441557736545
0.06006006006006006,0.27361369905862276,0.2737639412642284
0.06106106106106106,0.2681268625144588,0.26959027620790266
0.062062062062062065,0.26264002597029473,0.26545640639993984
0.06306306306306306,0.2571531894261308,0.2616197251946436
0.06406406406406406,0.25166635288196676,0.25768961615242525
0.06506506506506507,0.24617951633780277,0.2528350127003525
0.06606606606606606,0.24069267979363884,0.25084896196673084
0.06706706706706707,0.2352058432494748,0.2479622105599138
0.06806806806806806,0.22971900670531087,0.24396188995029167
0.06906906906906907,0.22423217016114683,0.24102448919731564
0.07007007007007007,0.21874533361698284,0.23738967220037524
0.07107107107107107,0.2132584970728189,0.2340300987997193
0.07207207207207207,0.20777166052865487,0.2312912498944526
0.07307307307307308,0.20228482398449082,0.2291783076504987
0.07407407407407407,0.1967979874403269,0.22766050922477654
0.07507507507507508,0.1913111508961629,0.22634740629353906
0.07607607607607608,0.18582431435199892,0.22309699187991738
0.07707707707707707,0.18033747780783493,0.21963853607527153
0.07807807807807808,0.1748506412636709,0.21682588451711796
0.07907907907907907,0.16936380471950696,0.21407930245804632
0.08008008008008008,0.16387696817534297,0.2105057108158815
0.08108108108108109,0.158390131631179,0.20709336451643867
0.08208208208208208,0.152903295087015,0.20516144921736765
0.08308308308308308,0.14741645854285096,0.2040845072530915
