tau,phi_data,phi_sim
0.1031031031031031,0.0663252898771547,0.0860288105996638
0.1041041041041041,0.06318995470906097,0.08441793587664476
0.10510510510510511,0.06005461954096724,0.08283722450654399
0.1061061061061061,0.05691928437287357,0.08128611168574995
0.10710710710710711,0.053783949204779836,0.07976404318650193
0.10810810810810811,0.05064861403668611,0.07827047515885907
0.1091091091091091,0.04751327886859244,0.07680487393637749
0.11011011011011011,0.044377943700498704,0.07536671584542598
0.1111111111111111,0.04124260853240504,0.07395548701807239
0.11211211211211211,0.0381072733643113,0.07257068320847351
0.11311311311311312,0.03497193819621758,0.07121180961270314
0.11411411411411411,0.0318366030281239,0.06987838069195378
0.11511511511511512,0.028701267860030175,0.0685699199990489
0.11611611611611611,0.025565932691936508,0.06728596000820371
0.11711711711711711,0.02243059752384277,0.06602604194797355
