,kappa_grid_best,mse_grid_best,joint_success,params_joint,mse_joint_plain,mse_joint_penalized
L_comb,-0.8,3.4847481999688927,True,"[0.6676701589298669, -0.0002817969018809053, 0.09078708318911578, -0.0020737274752841346]",0.9997106223146925,0.9997110602902061
L_sym,-0.95,3.2438854918578652,True,"[0.8698613676757686, -0.08879897686157456, 0.1794691635701361, -0.999154875857238]",1.2407559749683128,1.3413755473924083
