kappa,mse
-1.0,4.244228239916817
-0.95,4.2447977948865665
-0.9,4.245420781835828
-0.85,4.24610526437993
-0.8,4.246860904329055
-0.75,4.247699417543873
-0.7,4.248635172717676
-0.6499999999999999,4.249685997971598
-0.6,4.2508742899711915
-0.55,4.252228568118968
-0.5,4.253785694034599
-0.44999999999999996,4.2555941028855715
-0.3999999999999999,4.257718599560977
-0.35,4.260247608732126
-0.29999999999999993,4.26330429916559
-0.25,4.26706375366102
-0.19999999999999996,4.27177894524009
-0.1499999999999999,4.277815851969674
-0.09999999999999998,4.285674508300356
-0.04999999999999993,4.295790894076766
0.0,4.30540548291344
0.050000000000000044,6.173360595986789
0.10000000000000009,8.072632674788874
0.15000000000000013,9.977461084455074
0.20000000000000018,11.88542270721121
0.25,13.795256084721741
0.30000000000000004,15.70613907898112
0.3500000000000001,17.617719182137424
0.40000000000000013,19.529808038464278
0.4500000000000002,21.185365217216475
0.5,22.154397245511664
0.55,23.019291815507
0.6000000000000001,24.09055580698731
0.6500000000000001,25.38623054307181
0.7000000000000002,25.461079097836688
0.75,70.51429713064361
0.8,70.73370763974647
0.8500000000000001,70.94002491153674
0.9000000000000001,71.79448985863108
0.9500000000000002,72.23652349814792
1.0,72.38855352496275
