lambda_b,lambda_k,init_index,x0_a,x0_b,x0_m,x0_kappa,success,a,b,m,kappa,mse_plain,mse_penalized,n_iter,message,orig_init_index
0.1,0.0,9.0,0.2895735496090532,-1.1802855344636518,0.6254097059546653,0.2063061728955451,True,0.2071066931438686,8.208089886039295e-05,0.6189996837109737,-0.6970730706942253,0.9996170710526112,0.9996170717263386,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,
0.1,0.0,10.0,0.5805778431699599,0.1164546211588016,0.103016890792113,-0.6134407515369964,True,0.6518256773020134,3.40514963999937e-05,0.1742647253196709,-0.6104260064259478,0.999616307738931,0.9996163078548814,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,
0.1,0.0,12.0,0.4620066369599563,0.1484140228404004,0.3313974809121379,-0.0307391948856487,True,0.478058280557669,3.486013170705148e-05,0.3474491245098506,-0.583763467996693,0.9996161489893892,0.9996161491109122,10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,13.0,0.3668517134006575,0.1414454152894301,0.5649516433589886,-0.259501971858403,True,0.3137693339863157,3.6387013111266456e-05,0.511869264239319,-0.5822971145763323,0.9996161482721516,0.999616148404553,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,14.0,0.3041209553337545,-0.3673935177718741,0.5191897129879095,-0.1392625991874768,True,0.3054582657967943,1.621347478738639e-05,0.5205270234435211,-0.5833088293190946,0.9996161494558344,0.999616149482122,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,15.0,0.5841968868673812,-0.1750462504577039,0.0944041755696362,-0.6008889709875189,True,0.6549987735788488,3.5996363261778946e-05,0.1708409801905938,-0.5971342385720709,0.9996161928431876,0.9996161929727614,7,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,16.0,0.1322549188825262,-1.681641904030697,0.5326071663530192,0.3310858195491415,True,0.2159623559771143,0.0003760848454098,0.6103262008462655,-0.7629781328953527,0.9996030607454418,0.9996030748894228,14,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,17.0,0.5931421871333674,0.4967787064055176,0.2558085467473442,-0.2766326811919661,True,0.5814942974701139,3.124906353348171e-05,0.2441606570194312,-0.581754946595286,0.9996161484129092,0.9996161485105596,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,18.0,0.616671649893879,1.0205002613811145,0.2050526543090826,-0.5432503196345024,True,0.636948152387854,0.0003621089606478,0.189334784369983,-0.7629566415830032,0.9996030623922671,0.9996030755045572,23,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,
0.1,0.0,19.0,0.5127640250633265,0.4800853096884644,0.0,0.0404658534063548,True,-0.1743873581289153,5.953937434808785e-05,1.0,-0.5793875135263186,0.999616150308786,0.9996161506632796,13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,22.0,0.2561364065256865,-0.2472937323306753,0.5199772273147426,0.0156486311685791,True,0.2810577952531859,1.302102008163351e-05,0.5448986159039081,-0.582541031959379,0.9996161492292176,0.999616149246172,10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,24.0,0.5394109753926539,-0.1679491744226148,0.1053461266538354,-0.9346399869220888,True,0.6223639274488969,4.305168649085101e-05,0.2033230556061341,-0.5829013010978519,0.9996161482115996,0.9996161483969443,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,25.0,0.5647519381175147,1.2282195759451522,0.0,-1.0334982195117035,True,0.6244271315538574,3.2383170062516456e-05,0.2013840126478051,-0.5828770720234964,0.9996161484421824,0.9996161485470494,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,26.0,0.3709833555108002,-1.0762316880763136,0.5055068956148142,-0.1490802561777021,True,0.3455792014305894,2.8847621011801272e-05,0.4801027415891592,-0.5825146414542337,0.9996161482742366,0.9996161483574552,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,27.0,0.3656462187481688,-0.7264944534118414,0.3459837072808833,0.3928652481930782,True,0.389878569600907,2.7829012862509168e-05,0.4358022639992913,-0.5827875716418491,0.9996161482887322,0.9996161483661776,13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.1,0.0,29.0,0.131708358671192,-0.5621647101152316,0.4191030188630556,-0.0667087368134935,True,0.6343370664145018,1.0704955313447295e-05,0.1916918038516803,-0.5959821088321883,0.9996161866890688,0.9996161867005284,9,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,,0.6259086912704301,0.8118685686505351,0.2658883945615735,-1.3972233232650626,True,0.4292146031024857,0.0003614737736796,0.3964759717659283,-0.5829710101065692,0.9996161463695612,0.999616147676194,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5.0
0.01,0.0,,0.458346535870926,0.5554416343267974,0.17594787248569,0.2424638793324987,True,0.3987670052467876,0.0003555434090266,0.4267704947539956,-0.5829396042204126,0.999616146627205,0.999616147891316,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19.0
0.01,0.0,,0.1914951825542249,-0.9456039557204504,0.627307144539428,-0.9552524448818378,True,0.2453905202494898,0.0004402496866364,0.5802276628347155,-0.5834657696621587,0.999616146069698,0.999616148007896,26,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,26.0
0.01,0.01,,0.8193496400199102,-0.6123774891915654,0.0051571015073823,-1.1216127109012577,True,0.6788001497234784,-0.0028761303296977,0.0911364612374545,-0.0210530094090587,0.9997025357142716,0.99970705072758,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4.0
0.1,0.0,,0.1932004222692963,-0.7353289862771509,0.4934116653997596,-1.1240517935576706,True,0.2966848610508596,2.4313293897240504e-05,0.5289898257481068,-0.5835622334348451,0.999616148511626,0.9996161485707395,23,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4.0
0.1,0.0,,0.6657811399213176,0.6193349333516771,0.3337061302821122,0.0309375824682484,True,0.4226508558808715,2.211865802368042e-05,0.4030420703758812,-0.5834436835273719,0.9996161484705054,0.9996161485194288,17,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,6.0
0.1,0.0,,0.0535152639416481,-1.1109303185979316,0.7411844395466295,0.8682003114821718,True,0.1921206058708075,2.928486820401332e-05,0.6335649058470515,-0.5825963665003493,0.9996161482704056,0.999616148356166,29,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11.0
0.1,0.0,,0.7830743793363565,0.3236257679564163,0.2298248077652628,-0.5144934608063263,True,0.5834277405379176,0.0003765651514087,0.2428028937251087,-0.7629542996970174,0.9996030606921912,0.9996030748723224,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,21.0
0.1,0.0,,0.6947394643559884,-0.427116697494536,0.0,-0.7316983943601931,True,0.7194056192357527,6.719490536449779e-05,0.1064109888085334,-0.5745354628501265,0.9996161626239034,0.9996161630754188,18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,23.0
0.1,0.0,,0.2418257844459164,0.26295637958561,0.6901718484377517,0.1038134208047657,True,0.1369606303260342,2.066245691101234e-05,0.6887691974164546,-0.5825977164321063,0.9996161483405552,0.9996161483832487,14,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,28.0
0.01,0.0,,0.458346535870926,0.5554416343267974,0.17594787248569,0.2424638793324987,True,0.3973387454892607,0.0003479791711009,0.4283580579422188,-0.5826214603543309,0.9996161464301307,0.999616147641026,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19.0
0.01,0.0,,0.1914951825542249,-0.9456039557204504,0.627307144539428,-0.9552524448818378,True,0.2532236450355428,0.000270424617467,0.572309255694728,-0.5830476862734244,0.9996161471739708,0.9996161479052657,27,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,26.0
0.01,0.01,,0.8193496400199102,-0.6123774891915654,0.0051571015073823,-1.0,True,0.6791931977581068,-0.0029573100966256,0.0904007110242477,-0.0208153059242014,0.999702630466964,0.9997070506934012,23,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4.0
0.01,0.01,,0.3145727491593079,-0.2504619345914298,0.5552221185909316,0.442877105359008,True,0.3145661792533388,-0.2504710718587135,0.5552242936812956,0.4428797193511781,3.62673394521509,3.629322727251597,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5.0
0.01,0.01,,0.5407061345395325,0.693031195288899,0.3302784773306073,-0.4745032811714911,True,0.3700260217158681,-0.0025453092006203,0.4009587151288103,-0.0209322461755536,0.99970261055554,0.9997070569308288,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11.0
0.1,0.0,,0.1932004222692963,-0.7353289862771509,0.4934116653997596,-1.0,True,0.2981563798826784,3.803478100282839e-05,0.527480065502994,-0.5839378024230265,0.9996161486646924,0.999616148809357,23,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4.0
0.1,0.0,,0.6657811399213176,0.6193349333516771,0.3337061302821122,0.0309375824682484,True,0.4158725065164542,7.098553252761749e-05,0.409778808683455,-0.582558808118526,0.9996161480426894,0.999616148546584,16,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,6.0
0.1,0.0,,0.0535152639416481,-1.1109303185979316,0.7411844395466295,0.8682003114821718,True,0.1712447855903079,3.5569439039008177e-05,0.6544269908174222,-0.5822096256164858,0.9996161482657424,0.9996161483922608,39,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11.0
0.1,0.0,,0.7830743793363565,0.3236257679564163,0.2298248077652628,-0.5144934608063263,True,0.5910588200437648,-2.537137422323812e-06,0.2344608347967192,-0.574910425276126,0.999616161155956,0.9996161611565996,9,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,21.0
0.1,0.0,,0.6947394643559884,-0.427116697494536,0.0,-0.7316983943601931,True,0.7059744291732425,2.4497167124552417e-05,0.1197506603866338,-0.5828431526570537,0.9996161483258812,0.9996161483858924,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,23.0
0.1,0.0,,0.2418257844459164,0.26295637958561,0.6901718484377517,0.1038134208047657,True,0.1397614547120576,3.4421509952677946e-05,0.685958387980486,-0.5828965984010291,0.9996161482705352,0.9996161483890192,13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,28.0
