lambda_b,lambda_k,count_valid,a_median,a_q25,a_q75,a_std,b_median,b_q25,b_q75,b_std,m_median,m_q25,m_q75,m_std,kappa_median,kappa_q25,kappa_q75,kappa_std,mse_penalized_median,mse_penalized_q25,mse_penalized_q75,mse_penalized_std
0.01,0.0,32,0.4733750673057614,0.3875209846445127,0.596617098453366,0.16498512766722484,0.00034602026218565,0.00027876930875055,0.00046464094806335,0.0015704085919148274,0.3523006994340644,0.22944030253309186,0.43821234431960454,0.16495303207039716,-0.5830121801618111,-0.583973030399934,-0.5826342002684582,0.05121518862671089,0.9996161479510755,0.999616147674269,0.9996161487967211,3.2735251238783294e-06
0.01,0.01,28,0.5216763037211665,0.3637915397262953,0.5991386027659213,0.16554212642807115,-0.00293416120014625,-0.003065181166045125,-0.0028599243522761247,0.1950448569753499,0.2399733126344693,0.15452287070289297,0.40700508984240913,0.18083465630046378,-0.0208540234749004,-0.02094039171028145,-0.02076838413322625,0.15122547599633607,0.9997070518205833,0.9997070509197482,0.999707054018059,0.5571427842998273
0.1,0.0,35,0.3687541598246189,0.2538308679105883,0.6067113737463308,0.21244233751721875,3.40514963999937e-05,2.440523051089646e-05,4.550228935176577e-05,0.1894256696321446,0.4358022639992913,0.21889194520142663,0.5574684539686346,0.21082151326588283,-0.5827875716418491,-0.5836628507157691,-0.5823476222753615,0.19860462403635762,0.9996161485105596,0.9996161483874558,0.9996161500727008,0.10367532666269431
