kappa,mse
-1.0,100.65475670999622
-0.95,100.62985734194135
-0.9,100.57809091689217
-0.85,100.46127163452097
-0.8,82.19528923719655
-0.75,81.6631134800406
-0.7,81.28143045877097
-0.6499999999999999,80.88235180483669
-0.6,80.20451284086802
-0.55,39.85653435411652
-0.5,4.084948458800073
-0.44999999999999996,4.311292235993435
-0.3999999999999999,4.311290820264821
-0.35,4.311284848444181
-0.29999999999999993,4.311277832089072
-0.25,4.311272102052256
-0.19999999999999996,4.311268646712668
-0.1499999999999999,4.311265287680704
-0.09999999999999998,4.311247796620711
-0.04999999999999993,4.311135057622145
0.0,4.309721480840296
0.050000000000000044,7.80576839365751
0.10000000000000009,12.849321855701996
0.15000000000000013,17.103779165048962
0.20000000000000018,22.54491562761259
0.25,24.269670294747968
0.30000000000000004,24.403866295187992
0.3500000000000001,66.25171001026868
0.40000000000000013,64.57867309330025
0.4500000000000002,66.73401276305951
0.5,67.23857760388904
0.55,67.65427844584757
0.6000000000000001,68.95073494659606
0.6500000000000001,71.17503294882249
0.7000000000000002,100.09764394028772
0.75,100.20816922626986
0.8,100.68491955883997
0.8500000000000001,100.80526516721372
0.9000000000000001,68.05390495144329
0.9500000000000002,70.5422812438887
1.0,74.9462795325465
