,kappa_grid_best,mse_grid_best,joint_success,params_joint,mse_joint
L_comb,-0.8,3.669782172986879,True,"[0.5306335289276004, 0.26257121403426475, 0.28208353993670665, -0.643334069833203]",0.9996250431467478
L_sym,-1.0,4.244228239916817,True,"[0.7240892445883572, 0.1225038969457945, 0.08864323636328533, -0.7345675402960388]",0.9996371301949963
