lambda_b,lambda_k,count_valid,a_median,a_q25,a_q75,a_std,b_median,b_q25,b_q75,b_std,m_median,m_q25,m_q75,m_std,kappa_median,kappa_q25,kappa_q75,kappa_std,mse_penalized_median,mse_penalized_q25,mse_penalized_q75,mse_penalized_std,rank_score
0.1,0.0,35,0.3687541598246189,0.2538308679105883,0.6067113737463308,0.2124423375172187,3.40514963999937e-05,2.440523051089646e-05,4.550228935176577e-05,0.1894256696321446,0.4358022639992913,0.2188919452014266,0.5574684539686346,0.2108215132658828,-0.5827875716418491,-0.5836628507157691,-0.5823476222753615,0.1986046240363576,0.9996161485105596,0.9996161483874558,0.9996161500727008,0.1036753266626943,34.900038385148946
0.01,0.0,32,0.4733750673057614,0.3875209846445127,0.596617098453366,0.1649851276672248,0.0003460202621856,0.0002787693087505,0.0004646409480633,0.0015704085919148,0.3523006994340644,0.2294403025330918,0.4382123443196045,0.1649530320703971,-0.5830121801618111,-0.583973030399934,-0.5826342002684582,0.0512151886267108,0.9996161479510756,0.999616147674269,0.9996161487967212,3.2735251238783294e-06,31.900038385204894
0.01,0.01,28,0.5216763037211665,0.3637915397262953,0.5991386027659213,0.1655421264280711,-0.0029341612001462,-0.0030651811660451,-0.0028599243522761,0.1950448569753499,0.2399733126344693,0.1545228707028929,0.4070050898424091,0.1808346563004637,-0.0208540234749004,-0.0209403917102814,-0.0207683841332262,0.151225475996336,0.9997070518205832,0.9997070509197482,0.999707054018059,0.5571427842998273,27.90002929481794
