,median,q025,q975,std,n
a,0.2275561436182603,-0.9185166360872038,0.6886190384916396,0.4753041354712452,1198.0
b,5.3610056836697265e-06,-0.00985241239173038,0.0113662588222886,0.008059835183664633,1198.0
m,0.001129715530139,0.0,0.3376085622043501,0.11443603617001086,1198.0
kappa,-0.00019638135024984999,-0.08272662911470922,0.0391287985720473,0.028542408336074198,1198.0
