run,success,fun,x_opt,elapsed_s,mse,sim_min,sim_max,sim_mean,n_nan,n_inf,error_type,error_msg,traceback_tail
10,True,1000000.0,"[1.9152618400580048, 0.2837012374206131, 0.9337165274447771, 1.5642542169311309]",0.006180286407470703,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
11,True,1000000.0,"[-0.4281099267636489, -0.3168029759942408, 0.8449417076216691, -0.5922408072464587]",0.005275726318359375,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
12,True,1000000.0,"[-1.6502474491561192, 0.5, 0.7302838931355254, -1.2205978926558712]",0.004857063293457031,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
13,True,1000000.0,"[1.3970969548020726, 0.06348779562352438, 0.3715243159723591, -1.6779545974273644]",0.004780292510986328,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
14,True,1000000.0,"[1.5669207505807268, 0.04911675348524776, 0.11780294398280412, 0.9312113316826803]",0.005036592483520508,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
15,True,1000000.0,"[0.0952836709398848, -0.08740934916474374, 0.030007165570870305, -1.6678127377568268]",0.0047206878662109375,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
16,True,1000000.0,"[1.5898412155597126, -0.2757956230303519, 0.45615302892073345, 1.038642109655179]",0.004708528518676758,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
17,True,1000000.0,"[1.1795856529025903, -0.32981304844385256, 0.8729535908333699, 0.08419322025599696]",0.004744529724121094,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
18,True,1000000.0,"[1.2012905265874518, 0.33969831711807547, 0.0, 0.0028753468491819756]",0.004828929901123047,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
19,True,1000000.0,"[1.7845163351862148, -0.18051936376755312, 0.422852060978414, 0.8107501418082506]",0.004913806915283203,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
20,True,1000000.0,"[-0.8702560707291856, -0.4480356855287866, 0.6078287454946347, -0.047717808965530656]",0.005117893218994141,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
21,True,1000000.0,"[1.9821534137945551, -0.30341410122823653, 0.7422752629526835, 0.9763859081752563]",0.004851818084716797,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
22,True,1000000.0,"[0.4845920267870444, 0.007459797594619882, 0.09527233830879037, 1.3160361996511418]",0.004915714263916016,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
23,True,1000000.0,"[0.6571422616828244, -0.4597325495403848, 0.4661218465875908, -1.0165201789573712]",0.004786491394042969,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
24,True,1000000.0,"[1.7875958158154215, -0.4240222716757045, 0.352439347780465, -1.4807487773235224]",0.00497126579284668,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
